Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","10.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","10.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","10.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","10.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","10.2","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","10.4","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","9.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","9.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","013","Central America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2021","2021","million No","10.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO) | Estimates are based on projected values."
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","20.1","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","18.8","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","17.9","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","16.5","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","14.7","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","16.3","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
"SDGB","SDG Indicators","005","South America","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","22","E","Estimated value","Non-relevant | Food and Agriculture Organization of the United Nations (FAO)"
